0	0
0	0
0	0
0	0
25	6.13304e-05
25	6.13304e-05
25	6.13304e-05
25	6.13304e-05
50	0.00175474
50	0.00175474
50	0.00175474
75	0.0291314
75	0.0291314
50	0.00175474
75	0.0291314
100	0.416921
100	0.416921
75	0.0291314
100	0.416921
125	0.935985
125	0.935985
100	0.416921
125	0.935985
150	0.953506
150	0.953506
125	0.935985
150	0.953506
150	0.953506
175	0.952233
175	0.952233
175	0.952233
175	0.952233
200	0.950285
200	0.950285
200	0.950285
200	0.950285
225	0.948234
225	0.948234
225	0.948234
225	0.948234
250	0.946093
250	0.946093
250	0.946093
250	0.946093
275	0.943857
275	0.943857
275	0.943857
275	0.943857
300	0.941523
300	0.941523
300	0.941523
325	0.939086
300	0.941523
325	0.939086
325	0.939086
325	0.939086
350	0.936541
350	0.936541
350	0.936541
375	0.933882
350	0.936541
375	0.933882
375	0.933882
400	0.931103
375	0.933882
400	0.931103
400	0.931103
425	0.928197
400	0.931103
425	0.928197
425	0.928197
450	0.92516
425	0.928197
450	0.92516
450	0.92516
475	0.921983
450	0.92516
475	0.921983
475	0.921983
500	0.918658
475	0.921983
500	0.918658
500	0.918658
525	0.915179
500	0.918658
525	0.915179
525	0.915179
550	0.911536
525	0.915179
575	0.907719
550	0.911536
550	0.911536
550	0.911536
600	0.90372
575	0.907719
575	0.907719
575	0.907719
600	0.90372
625	0.899527
600	0.90372
600	0.90372
625	0.899527
650	0.89513
625	0.899527
650	0.89513
625	0.899527
675	0.890514
650	0.89513
675	0.890514
650	0.89513
675	0.890514
700	0.885667
700	0.885667
675	0.890514
700	0.885667
725	0.880575
725	0.880575
725	0.880575
700	0.885667
750	0.875221
750	0.875221
750	0.875221
775	0.869588
725	0.880575
775	0.869588
775	0.869588
800	0.863656
750	0.875221
800	0.863656
800	0.863656
775	0.869588
825	0.857405
825	0.857405
850	0.850812
825	0.857405
800	0.863656
850	0.850812
875	0.843851
850	0.850812
900	0.836494
875	0.843851
875	0.843851
825	0.857405
925	0.828709
900	0.836494
900	0.836494
850	0.850812
950	0.82046
925	0.828709
925	0.828709
875	0.843851
975	0.811708
950	0.82046
950	0.82046
1000	0.802407
900	0.836494
975	0.811708
1025	0.792506
975	0.811708
1000	0.802407
925	0.828709
1050	0.781947
1025	0.792506
1000	0.802407
950	0.82046
1075	0.770661
1050	0.781947
1025	0.792506
975	0.811708
1075	0.770661
1100	0.758569
1050	0.781947
1000	0.802407
1125	0.745581
1075	0.770661
1100	0.758569
1025	0.792506
1150	0.731587
1125	0.745581
1100	0.758569
1050	0.781947
1175	0.716465
1150	0.731587
1125	0.745581
1075	0.770661
1200	0.70011
1175	0.716465
1150	0.731588
